,avg_hours_per_day,std_hours_daily,std_hours_monthly,total_days_worked,overtime_ratio
1,7.373650622605365,0.28322436713023424,0.05101187244218218,232,0.0
2,7.718968926553672,0.31335090741272625,0.08017387832508861,236,0.17796610169491525
3,7.013240358126722,0.3115511391897782,0.06901053125290219,242,0.0
4,7.193678486997635,0.28413283284487745,0.0698192201248836,235,0.0
5,8.006174603174603,0.3006564200435072,0.048139143128199585,245,0.46938775510204084
6,10.796095874355368,0.3062780195272167,0.06752838861517875,237,1.0
7,6.923570402298851,0.3246115897328066,0.08279090702817969,232,0.004310344827586207
8,6.725620713305898,0.27854805942660005,0.0409903375058009,243,0.0
9,7.236498792270532,0.3106995251062113,0.057485706035786406,230,0.004347826086956522
10,7.080087844254511,0.2904905463580699,0.07320156025725605,234,0.0
11,8.403485477178425,0.3083233939116,0.06733510719116945,241,0.921161825726141
12,7.06895458736745,0.30973383319804865,0.07079807606595921,241,0.0
13,9.301409509946627,0.28886323837076794,0.070885774791744,229,1.0
14,9.399931442080378,0.29226652785680385,0.053056142569355244,235,1.0
15,6.08968764407561,0.2897538656914085,0.0680005831452716,241,0.0
16,6.705174636661979,0.31725964327391604,0.03863442425621507,237,0.0
17,6.619040626529614,0.31396253642597743,0.08151038343216835,227,0.0
18,11.014328139114726,0.3096964342975207,0.06958324426150103,246,1.0
19,6.960253831417625,0.314945915821745,0.058232524795180284,232,0.0
20,9.293555796055795,0.2963884015180485,0.0839746901140956,231,1.0
21,7.590778256704982,0.317876322859857,0.057849031695614374,232,0.11637931034482758
22,6.008613495469718,0.29300926732118104,0.0680335590211481,233,0.0
23,8.402108477011494,0.30298867053530126,0.0859448748741294,232,0.9051724137931034
24,6.8070052800734615,0.3155869205724915,0.07762784001665984,242,0.0
25,7.093167388167388,0.3219874360961485,0.06208714122783794,231,0.004329004329004329
26,9.362002074688798,0.2812382254202834,0.0744787163706538,241,1.0
27,10.977123430962344,0.2966332412542106,0.06150471851915974,239,1.0
28,7.604444444444445,0.29583577896635027,0.056852920588399,236,0.09322033898305085
29,10.97758573388203,0.311821460995057,0.044146505260523286,243,1.0
30,6.8312753623188405,0.2816235668075111,0.05546103170201597,230,0.0
